id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
32866,2017-10-20T00:00:00.000Z,97,4,False,2017,Final, ,116,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
32867,2017-10-21T00:00:00.000Z,93,4,False,2017,Final, ,114,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
32868,2017-10-21T00:00:00.000Z,130,4,False,2017,Final, ,88,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
32869,2017-10-22T00:00:00.000Z,113,4,False,2017,Final, ,115,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
32870,2017-10-23T00:00:00.000Z,86,4,False,2017,Final, ,97,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
32871,2017-10-24T00:00:00.000Z,125,4,False,2017,Final, ,121,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
32872,2017-10-25T00:00:00.000Z,122,4,False,2017,Final, ,101,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
32873,2017-10-26T00:00:00.000Z,106,4,False,2017,Final, ,114,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
32874,2017-10-27T00:00:00.000Z,93,4,False,2017,Final, ,109,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
32875,2017-10-28T00:00:00.000Z,90,4,False,2017,Final, ,96,16,MIA,Miami,East,Southeast,Miami Heat,Heat,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
32876,2017-10-29T00:00:00.000Z,97,4,False,2017,Final, ,94,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
32877,2017-10-30T00:00:00.000Z,99,4,False,2017,Final, ,115,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
32878,2017-11-01T00:00:00.000Z,97,4,False,2017,Final, ,91,16,MIA,Miami,East,Southeast,Miami Heat,Heat,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
32879,2017-11-03T00:00:00.000Z,95,4,False,2017,Final, ,94,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,16,MIA,Miami,East,Southeast,Miami Heat,Heat
32880,2017-11-05T00:00:00.000Z,112,4,False,2017,Final, ,94,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
32881,2017-11-06T00:00:00.000Z,107,4,False,2017,Final, ,110,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
32882,2017-11-07T00:00:00.000Z,99,4,False,2017,Final, ,113,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
32883,2017-11-10T00:00:00.000Z,97,4,False,2017,Final, ,101,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
32884,2017-11-11T00:00:00.000Z,111,4,False,2017,Final, ,103,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,13,LAC,LA,West,Pacific,LA Clippers,Clippers
32885,2017-11-13T00:00:00.000Z,105,4,False,2017,Final, ,109,13,LAC,LA,West,Pacific,LA Clippers,Clippers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
32886,2017-11-14T00:00:00.000Z,113,4,False,2017,Final, ,129,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
32887,2017-11-15T00:00:00.000Z,106,4,False,2017,Final, ,101,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
32888,2017-11-17T00:00:00.000Z,107,4,False,2017,Final, ,84,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
32889,2017-11-18T00:00:00.000Z,111,4,False,2017,Final, ,79,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
32890,2017-11-20T00:00:00.000Z,88,4,False,2017,Final, ,99,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
32891,2017-11-22T00:00:00.000Z,125,4,False,2017,Final, ,95,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
32892,2017-11-22T00:00:00.000Z,110,4,False,2017,Final, ,80,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
32893,2017-11-24T00:00:00.000Z,125,4,False,2017,Final, ,127,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
32894,2017-11-25T00:00:00.000Z,86,4,False,2017,Final, ,106,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
32895,2017-11-27T00:00:00.000Z,120,4,False,2017,Final, ,115,13,LAC,LA,West,Pacific,LA Clippers,Clippers,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
