id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
32809,2016-11-17T00:00:00.000Z,77,4,False,2016,Final, ,85,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
32810,2016-11-18T00:00:00.000Z,100,4,False,2016,Final, ,96,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
32811,2016-11-19T00:00:00.000Z,121,4,False,2016,Final, ,124,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
32812,2016-11-20T00:00:00.000Z,109,4,False,2016,Final, ,129,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
32813,2016-11-21T00:00:00.000Z,106,4,False,2016,Final, ,101,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
32814,2016-11-23T00:00:00.000Z,104,4,False,2016,Final, ,124,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,13,LAC,LA,West,Pacific,LA Clippers,Clippers
32815,2016-11-23T00:00:00.000Z,117,4,False,2016,Final, ,96,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
32816,2016-11-25T00:00:00.000Z,128,4,False,2016,Final, ,90,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
32817,2016-11-27T00:00:00.000Z,109,4,False,2016,Final, ,94,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
32818,2016-11-28T00:00:00.000Z,104,4,False,2016,Final, ,112,16,MIA,Miami,East,Southeast,Miami Heat,Heat,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
32819,2016-11-29T00:00:00.000Z,127,4,False,2016,Final, ,122,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
32820,2016-11-30T00:00:00.000Z,126,4,False,2016,Final, ,115,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
32821,2016-12-01T00:00:00.000Z,110,4,False,2016,Final, ,111,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,16,MIA,Miami,East,Southeast,Miami Heat,Heat
32822,2016-12-02T00:00:00.000Z,113,4,False,2016,Final, ,80,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
32823,2016-12-03T00:00:00.000Z,99,4,False,2016,Final, ,92,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
