id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
24403,2011-12-26T00:00:00.000Z,99,4,False,2011,Final, ,91,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
24404,2011-12-27T00:00:00.000Z,98,4,False,2011,Final, ,95,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
24405,2011-12-28T00:00:00.000Z,95,4,False,2011,Final, ,98,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
24406,2011-12-29T00:00:00.000Z,111,4,False,2011,Final, ,102,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
24407,2011-12-30T00:00:00.000Z,105,4,False,2011,Final, ,98,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
24408,2011-12-31T00:00:00.000Z,96,4,False,2011,Final, ,88,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
24409,2012-01-01T00:00:00.000Z,99,4,False,2011,Final, ,82,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
24410,2012-01-02T00:00:00.000Z,106,4,False,2011,Final, ,96,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
24517,2011-12-27T00:00:00.000Z,70,4,False,2011,Final, ,106,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
24518,2011-12-28T00:00:00.000Z,101,4,False,2011,Final, ,83,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
24519,2011-12-29T00:00:00.000Z,99,4,False,2011,Final, ,82,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
24520,2011-12-30T00:00:00.000Z,98,4,False,2011,Final, ,91,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
24521,2011-12-30T00:00:00.000Z,101,4,False,2011,Final, ,114,13,LAC,LA,West,Pacific,LA Clippers,Clippers,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
24522,2011-12-31T00:00:00.000Z,92,4,False,2011,Final, ,89,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
24523,2012-01-01T00:00:00.000Z,96,4,False,2011,Final, ,80,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
24524,2012-01-02T00:00:00.000Z,94,4,False,2011,Final, ,108,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
24525,2012-01-04T00:00:00.000Z,101,4,False,2011,Final, ,95,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
24526,2012-01-06T00:00:00.000Z,88,4,False,2011,Final, ,96,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
24527,2012-01-07T00:00:00.000Z,95,4,False,2011,Final, ,98,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
24528,2012-01-08T00:00:00.000Z,72,4,False,2011,Final, ,93,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
24529,2012-01-09T00:00:00.000Z,81,4,False,2011,Final, ,94,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
24530,2012-01-10T00:00:00.000Z,86,4,False,2011,Final, ,100,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
24531,2012-01-11T00:00:00.000Z,91,4,False,2011,Final, ,98,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
24532,2012-01-11T00:00:00.000Z,95,4,False,2011,Final, ,89,13,LAC,LA,West,Pacific,LA Clippers,Clippers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
24533,2012-01-12T00:00:00.000Z,94,4,False,2011,Final, ,83,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
24534,2012-01-13T00:00:00.000Z,80,4,False,2011,Final, ,87,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
24535,2012-01-14T00:00:00.000Z,77,4,False,2011,Final, ,64,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
24536,2012-01-16T00:00:00.000Z,93,4,False,2011,Final, ,84,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
24537,2012-01-17T00:00:00.000Z,95,4,False,2011,Final, ,105,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
24538,2012-01-18T00:00:00.000Z,96,4,False,2011,Final, ,73,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
24539,2012-01-20T00:00:00.000Z,86,4,False,2011,Final, ,88,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
