id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
27249,2014-01-16T00:00:00.000Z,117,4,False,2013,Final, ,89,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
27250,2014-01-17T00:00:00.000Z,101,4,False,2013,Final, ,111,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
27251,2014-01-17T00:00:00.000Z,107,4,False,2013,Final, ,110,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27252,2014-01-18T00:00:00.000Z,98,4,False,2013,Final, ,104,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
27253,2014-01-19T00:00:00.000Z,93,4,False,2013,Final, ,91,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
27254,2014-01-20T00:00:00.000Z,97,4,False,2013,Final, ,102,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27255,2014-01-22T00:00:00.000Z,124,4,False,2013,Final, ,100,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
27256,2014-01-23T00:00:00.000Z,110,4,False,2013,Final, ,105,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
27257,2014-01-24T00:00:00.000Z,95,4,False,2013,Final, ,104,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
27258,2014-01-24T00:00:00.000Z,120,4,False,2013,Final, ,121,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
