id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
27183,2012-12-28T00:00:00.000Z,106,4,False,2012,Final, ,105,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
27184,2012-12-28T00:00:00.000Z,114,4,False,2012,Final, ,116,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27185,2012-12-29T00:00:00.000Z,95,4,False,2012,Final, ,98,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
27186,2012-12-29T00:00:00.000Z,109,4,False,2012,Final, ,100,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
27187,2012-12-29T00:00:00.000Z,101,4,False,2012,Final, ,83,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
27188,2012-12-30T00:00:00.000Z,96,4,False,2012,Final, ,94,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
27189,2012-12-31T00:00:00.000Z,123,4,False,2012,Final, ,104,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
27190,2013-01-01T00:00:00.000Z,99,4,False,2012,Final, ,103,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
27191,2013-01-02T00:00:00.000Z,102,4,False,2012,Final, ,79,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
27192,2013-01-02T00:00:00.000Z,104,4,False,2012,Final, ,92,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
27193,2013-01-02T00:00:00.000Z,95,4,False,2012,Final, ,89,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
27194,2013-01-02T00:00:00.000Z,115,4,False,2012,Final, ,94,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27195,2013-01-03T00:00:00.000Z,100,4,False,2012,Final, ,83,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
27196,2013-01-03T00:00:00.000Z,97,4,False,2012,Final, ,101,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
27197,2013-01-04T00:00:00.000Z,96,4,False,2012,Final, ,105,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
27198,2013-01-04T00:00:00.000Z,113,4,False,2012,Final, ,115,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
27199,2013-01-04T00:00:00.000Z,107,4,False,2012,Final, ,102,13,LAC,LA,West,Pacific,LA Clippers,Clippers,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
27200,2013-01-05T00:00:00.000Z,81,4,False,2012,Final, ,89,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
27201,2013-01-05T00:00:00.000Z,97,4,False,2012,Final, ,102,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
27202,2013-01-09T00:00:00.000Z,106,4,False,2012,Final, ,84,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
27203,2013-01-09T00:00:00.000Z,108,4,False,2012,Final, ,105,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
27204,2013-01-10T00:00:00.000Z,92,4,False,2012,Final, ,90,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
27205,2013-01-11T00:00:00.000Z,103,4,False,2012,Final, ,91,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
27206,2013-01-11T00:00:00.000Z,101,4,False,2012,Final, ,98,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
27207,2013-01-12T00:00:00.000Z,93,4,False,2012,Final, ,83,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
