id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
27300,2015-12-03T00:00:00.000Z,97,4,False,2015,Final, ,95,16,MIA,Miami,East,Southeast,Miami Heat,Heat,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27301,2015-12-04T00:00:00.000Z,96,4,False,2015,Final, ,100,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
27302,2015-12-05T00:00:00.000Z,99,4,False,2015,Final, ,84,16,MIA,Miami,East,Southeast,Miami Heat,Heat,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
27303,2015-12-06T00:00:00.000Z,111,4,False,2015,Final, ,91,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
27304,2015-12-07T00:00:00.000Z,97,4,False,2015,Final, ,104,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27305,2015-12-08T00:00:00.000Z,114,4,False,2015,Final, ,106,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
27306,2015-12-09T00:00:00.000Z,97,4,False,2015,Final, ,94,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
27307,2015-12-11T00:00:00.000Z,107,4,False,2015,Final, ,105,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
27308,2015-12-12T00:00:00.000Z,110,4,False,2015,Final, ,112,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
27309,2015-12-13T00:00:00.000Z,96,4,False,2015,Final, ,76,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
27310,2015-12-14T00:00:00.000Z,103,4,False,2015,Final, ,105,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27397,2015-12-03T00:00:00.000Z,105,4,False,2015,Final, ,106,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
27398,2015-12-04T00:00:00.000Z,109,4,False,2015,Final, ,106,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
27399,2015-12-05T00:00:00.000Z,96,4,False,2015,Final, ,102,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
27400,2015-12-07T00:00:00.000Z,106,4,False,2015,Final, ,110,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27401,2015-12-08T00:00:00.000Z,88,4,False,2015,Final, ,125,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27402,2015-12-09T00:00:00.000Z,95,4,False,2015,Final, ,109,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27403,2015-12-11T00:00:00.000Z,99,4,False,2015,Final, ,123,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
27404,2015-12-12T00:00:00.000Z,126,4,False,2015,Final, ,97,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
27405,2015-12-14T00:00:00.000Z,104,4,False,2015,Final, ,94,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
27406,2015-12-15T00:00:00.000Z,113,4,False,2015,Final, ,95,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
27407,2015-12-16T00:00:00.000Z,107,4,False,2015,Final, ,81,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27408,2015-12-16T00:00:00.000Z,128,4,False,2015,Final, ,103,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
27409,2015-12-17T00:00:00.000Z,104,4,False,2015,Final, ,100,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27410,2015-12-18T00:00:00.000Z,102,4,False,2015,Final, ,94,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
27411,2015-12-18T00:00:00.000Z,104,4,False,2015,Final, ,88,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
27412,2015-12-19T00:00:00.000Z,109,4,False,2015,Final, ,101,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
27413,2015-12-20T00:00:00.000Z,100,4,False,2015,Final, ,103,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
27414,2015-12-21T00:00:00.000Z,113,4,False,2015,Final, ,99,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
27415,2015-12-23T00:00:00.000Z,118,4,False,2015,Final, ,119,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27416,2015-12-23T00:00:00.000Z,85,4,False,2015,Final, ,120,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27417,2015-12-25T00:00:00.000Z,89,4,False,2015,Final, ,83,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
27418,2015-12-26T00:00:00.000Z,101,4,False,2015,Final, ,108,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,16,MIA,Miami,East,Southeast,Miami Heat,Heat
27419,2015-12-28T00:00:00.000Z,97,4,False,2015,Final, ,101,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
27420,2015-12-30T00:00:00.000Z,114,4,False,2015,Final, ,91,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
27421,2015-12-31T00:00:00.000Z,115,4,False,2015,Final, ,90,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
27422,2016-01-02T00:00:00.000Z,85,4,False,2015,Final, ,95,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
27423,2016-01-03T00:00:00.000Z,97,4,False,2015,Final, ,77,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
27424,2016-01-04T00:00:00.000Z,122,4,False,2015,Final, ,100,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
27425,2016-01-06T00:00:00.000Z,112,4,False,2015,Final, ,94,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
27426,2016-01-07T00:00:00.000Z,103,4,False,2015,Final, ,94,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
27427,2016-01-08T00:00:00.000Z,88,4,False,2015,Final, ,97,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
27428,2016-01-09T00:00:00.000Z,116,4,False,2015,Final, ,128,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
27429,2016-01-10T00:00:00.000Z,87,4,False,2015,Final, ,93,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27430,2016-01-12T00:00:00.000Z,107,4,False,2015,Final, ,110,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
27431,2016-01-13T00:00:00.000Z,108,4,False,2015,Final, ,89,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27432,2016-01-15T00:00:00.000Z,95,4,False,2015,Final, ,98,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,16,MIA,Miami,East,Southeast,Miami Heat,Heat
27433,2016-01-16T00:00:00.000Z,113,4,False,2015,Final, ,95,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
27434,2016-01-17T00:00:00.000Z,112,4,False,2015,Final, ,83,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
27435,2016-01-18T00:00:00.000Z,98,4,False,2015,Final, ,108,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
27436,2016-01-20T00:00:00.000Z,118,4,False,2015,Final, ,111,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
27437,2016-01-21T00:00:00.000Z,101,4,False,2015,Final, ,102,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
27438,2016-01-22T00:00:00.000Z,86,4,False,2015,Final, ,108,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
27439,2016-01-23T00:00:00.000Z,104,4,False,2015,Final, ,101,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
27440,2016-01-24T00:00:00.000Z,112,4,False,2015,Final, ,94,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27441,2016-01-25T00:00:00.000Z,84,4,False,2015,Final, ,89,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,16,MIA,Miami,East,Southeast,Miami Heat,Heat
27442,2016-01-26T00:00:00.000Z,89,4,False,2015,Final, ,91,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
27443,2016-01-27T00:00:00.000Z,130,4,False,2015,Final, ,99,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
27444,2016-01-28T00:00:00.000Z,103,4,False,2015,Final, ,83,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
27445,2016-01-29T00:00:00.000Z,102,4,False,2015,Final, ,84,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
27446,2016-01-30T00:00:00.000Z,117,4,False,2015,Final, ,103,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
27543,2015-12-11T00:00:00.000Z,96,4,False,2015,Final, ,83,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
27544,2015-12-11T00:00:00.000Z,96,4,False,2015,Final, ,106,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
