id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
23491,2009-10-27T00:00:00.000Z,91,4,False,2009,Final, ,102,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
23492,2009-10-27T00:00:00.000Z,99,4,False,2009,Final, ,92,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,13,LAC,LA,West,Pacific,LA Clippers,Clippers
23493,2009-10-28T00:00:00.000Z,101,4,False,2009,Final, ,91,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
23494,2009-10-28T00:00:00.000Z,120,4,False,2009,Final, ,109,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
23495,2009-10-28T00:00:00.000Z,115,4,False,2009,Final, ,93,16,MIA,Miami,East,Southeast,Miami Heat,Heat,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
23496,2009-10-28T00:00:00.000Z,74,4,False,2009,Final, ,96,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
23497,2009-10-28T00:00:00.000Z,95,4,False,2009,Final, ,93,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
23498,2009-10-28T00:00:00.000Z,102,4,False,2009,Final, ,89,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
23499,2009-10-28T00:00:00.000Z,113,4,False,2009,Final, ,96,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
23500,2009-10-28T00:00:00.000Z,114,4,False,2009,Final, ,105,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
23501,2009-10-28T00:00:00.000Z,107,4,False,2009,Final, ,108,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
23502,2009-10-28T00:00:00.000Z,107,4,False,2009,Final, ,109,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
23503,2009-10-29T00:00:00.000Z,92,4,False,2009,Final, ,85,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
23504,2009-10-29T00:00:00.000Z,94,4,False,2009,Final, ,97,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
23505,2009-10-30T00:00:00.000Z,99,4,False,2009,Final, ,86,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
23506,2009-10-30T00:00:00.000Z,102,4,False,2009,Final, ,100,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
23507,2009-10-30T00:00:00.000Z,100,4,False,2009,Final, ,89,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
23508,2009-10-30T00:00:00.000Z,83,4,False,2009,Final, ,96,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
23509,2009-10-30T00:00:00.000Z,83,4,False,2009,Final, ,91,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
23510,2009-10-30T00:00:00.000Z,115,4,False,2009,Final, ,107,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
23511,2009-10-30T00:00:00.000Z,85,4,False,2009,Final, ,95,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
23512,2009-10-30T00:00:00.000Z,118,4,False,2009,Final, ,90,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
23513,2009-10-30T00:00:00.000Z,87,4,False,2009,Final, ,104,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
23514,2009-10-30T00:00:00.000Z,97,4,False,2009,Final, ,92,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
23515,2009-10-30T00:00:00.000Z,111,4,False,2009,Final, ,98,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz,13,LAC,LA,West,Pacific,LA Clippers,Clippers
23516,2009-10-30T00:00:00.000Z,123,4,False,2009,Final, ,101,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
23517,2009-10-30T00:00:00.000Z,80,4,False,2009,Final, ,94,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
23518,2009-10-31T00:00:00.000Z,123,4,False,2009,Final, ,104,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
23519,2009-10-31T00:00:00.000Z,90,4,False,2009,Final, ,79,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
23520,2009-10-31T00:00:00.000Z,127,4,False,2009,Final, ,141,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
23521,2009-10-31T00:00:00.000Z,111,4,False,2009,Final, ,107,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
